month_year,vehicle_class,ev_sales_quantity
2014-01,Vehicle Fitted With Rig,0
2014-02,Adapted Vehicle,0
2014-02,Agricultural Tractor,2
2014-02,Ambulance,0
2014-02,Animal Ambulance,0
2014-02,Articulated Vehicle,0
2014-02,Breakdown Van,0
2014-02,Bus,1
2014-02,Camper Van / Trailer,0
2014-02,Camper Van / Trailer (Private Use),1
2014-02,Cash Van,0
2014-02,Construction Equipment Vehicle,0
2014-02,Construction Equipment Vehicle (Commercial),0
2014-02,Crane Mounted Vehicle,0
2014-02,Dumper,0
2014-02,E-Rickshaw With Cart (G),0
2014-02,E-Rickshaw(P),0
2014-02,Earth Moving Equipment,0
2014-02,Educational Institution Bus,0
2014-02,Excavator (Commercial),0
2014-02,Excavator (Nt),0
2014-02,Fire Fighting Vehicle,0
2014-02,Fire Tenders,0
2014-02,Fork Lift,0
2014-02,Goods Carrier,3
2014-02,Harvester,0
2014-02,Hearses,0
2014-02,Library Van,0
2014-02,Luxury Cab,0
2014-02,M-Cycle/Scooter,115
2014-02,M-Cycle/Scooter-With Side Car,0
2014-02,Maxi Cab,0
2014-02,Mobile Canteen,0
2014-02,Mobile Clinic,0
2014-02,Mobile Workshop,0
2014-02,Moped,15
2014-02,Motor Cab,0
2014-02,Motor Car,24
2014-02,Motor Cycle/Scooter-Sidecar(T),0
2014-02,Motor Cycle/Scooter-Used For Hire,0
2014-02,Motorised Cycle (Cc > 25Cc),0
2014-02,Omni Bus,0
2014-02,Omni Bus (Private Use),0
2014-02,Power Tiller,0
2014-02,Power Tiller (Commercial),0
2014-02,Private Service Vehicle,0
2014-02,Private Service Vehicle (Individual Use),0
2014-02,Recovery Vehicle,0
2014-02,Road Roller,0
2014-02,Three Wheeler (Goods),0
2014-02,Three Wheeler (Passenger),0
2014-02,Three Wheeler (Personal),0
2014-02,Tow Truck,0
2014-02,Tower Wagon,0
2014-02,Tractor (Commercial),0
2014-02,Tractor-Trolley(Commercial),0
2014-02,Trailer (Agricultural),2
2014-02,Trailer (Commercial),8
2014-02,Trailer For Personal Use,0
2014-02,Tree Trimming Vehicle,0
2014-02,Vehicle Fitted With Compressor,0
2014-02,Vehicle Fitted With Generator,0
2014-02,Vehicle Fitted With Rig,0
2014-03,Adapted Vehicle,0
2014-03,Agricultural Tractor,2
2014-03,Ambulance,0
2014-03,Animal Ambulance,0
2014-03,Articulated Vehicle,0
2014-03,Auxiliary Trailer,0
2014-03,Breakdown Van,0
2014-03,Bus,0
2014-03,Camper Van / Trailer,0
2014-03,Camper Van / Trailer (Private Use),1
2014-03,Cash Van,0
2014-03,Construction Equipment Vehicle,0
2014-03,Construction Equipment Vehicle (Commercial),0
2014-03,Crane Mounted Vehicle,0
2014-03,Dumper,0
2014-03,E-Rickshaw(P),0
2014-03,Earth Moving Equipment,0
2014-03,Educational Institution Bus,0
2014-03,Excavator (Commercial),0
2014-03,Excavator (Nt),0
2014-03,Fire Fighting Vehicle,0
2014-03,Fire Tenders,0
2014-03,Fork Lift,0
2014-03,Goods Carrier,4
2014-03,Harvester,0
2014-03,Hearses,0
2014-03,Library Van,0
2014-03,Luxury Cab,0
2014-03,M-Cycle/Scooter,145
2014-03,M-Cycle/Scooter-With Side Car,0
2014-03,Maxi Cab,2
2014-03,Mobile Canteen,0
2014-03,Mobile Clinic,0
2014-03,Mobile Workshop,0
2014-03,Moped,6
2014-03,Motor Cab,8
2014-03,Motor Car,36
2014-03,Motor Cycle/Scooter-Sidecar(T),0
2014-03,Motor Cycle/Scooter-Used For Hire,0
2014-03,Motorised Cycle (Cc > 25Cc),0
2014-03,Omni Bus,0
2014-03,Omni Bus (Private Use),0
2014-03,Power Tiller (Commercial),0
2014-03,Private Service Vehicle,0
2014-03,Private Service Vehicle (Individual Use),0
2014-03,Recovery Vehicle,0
2014-03,Road Roller,0
2014-03,Three Wheeler (Goods),1
2014-03,Three Wheeler (Passenger),1
2014-03,Three Wheeler (Personal),0
2014-03,Tow Truck,0
2014-03,Tractor (Commercial),1
2014-03,Tractor-Trolley(Commercial),0
2014-03,Trailer (Agricultural),1
2014-03,Trailer (Commercial),12
2014-03,Trailer For Personal Use,0
2014-03,Tree Trimming Vehicle,0
2014-03,Vehicle Fitted With Compressor,0
2014-03,Vehicle Fitted With Generator,0
2014-03,Vehicle Fitted With Rig,0
2014-03,X-Ray Van,0
2014-04,Adapted Vehicle,0
2014-04,Agricultural Tractor,3
2014-04,Ambulance,0
2014-04,Animal Ambulance,0
2014-04,Articulated Vehicle,0
2014-04,Bus,2
2014-04,Camper Van / Trailer,0
2014-04,Camper Van / Trailer (Private Use),1
2014-04,Cash Van,0
2014-04,Construction Equipment Vehicle,0
2014-04,Construction Equipment Vehicle (Commercial),0
2014-04,Crane Mounted Vehicle,0
2014-04,Dumper,0
2014-04,E-Rickshaw(P),0
2014-04,Earth Moving Equipment,0
2014-04,Educational Institution Bus,0
2014-04,Excavator (Commercial),0
2014-04,Excavator (Nt),0
2014-04,Fire Fighting Vehicle,0
2014-04,Fire Tenders,0
2014-04,Fork Lift,0
2014-04,Goods Carrier,0
2014-04,Harvester,0
2014-04,Hearses,0
2014-04,Luxury Cab,0
2014-04,M-Cycle/Scooter,166
2014-04,M-Cycle/Scooter-With Side Car,0
2014-04,Maxi Cab,0
2014-04,Mobile Canteen,0
2014-04,Mobile Clinic,0
2014-04,Mobile Workshop,0
2014-04,Moped,26
2014-04,Motor Cab,0
2014-04,Motor Car,32
2014-04,Motor Cycle/Scooter-Sidecar(T),0
2014-04,Motor Cycle/Scooter-Used For Hire,0
2014-04,Motorised Cycle (Cc > 25Cc),0
2014-04,Omni Bus,0
2014-04,Omni Bus (Private Use),0
2014-04,Power Tiller,0
2014-04,Power Tiller (Commercial),0
2014-04,Private Service Vehicle,0
2014-04,Private Service Vehicle (Individual Use),0
2014-04,Recovery Vehicle,0
2014-04,Road Roller,0
2014-04,Three Wheeler (Goods),1
2014-04,Three Wheeler (Passenger),1
2014-04,Three Wheeler (Personal),0
2014-04,Tow Truck,0
2014-04,Tower Wagon,0
2014-04,Tractor (Commercial),1
2014-04,Tractor-Trolley(Commercial),0
2014-04,Trailer (Agricultural),9
2014-04,Trailer (Commercial),10
2014-04,Trailer For Personal Use,0
2014-04,Tree Trimming Vehicle,0
2014-04,Vehicle Fitted With Compressor,0
2014-04,Vehicle Fitted With Generator,0
2014-04,Vehicle Fitted With Rig,0
2014-05,Adapted Vehicle,0
2014-05,Agricultural Tractor,4
2014-05,Ambulance,0
2014-05,Animal Ambulance,0
2014-05,Articulated Vehicle,0
2014-05,Breakdown Van,0
2014-05,Bus,0
2014-05,Camper Van / Trailer,0
2014-05,Camper Van / Trailer (Private Use),0
2014-05,Cash Van,0
2014-05,Construction Equipment Vehicle,0
2014-05,Construction Equipment Vehicle (Commercial),0
2014-05,Crane Mounted Vehicle,1
2014-05,Dumper,0
2014-05,E-Rickshaw(P),0
2014-05,Earth Moving Equipment,0
2014-05,Educational Institution Bus,0
2014-05,Excavator (Commercial),0
2014-05,Excavator (Nt),0
2014-05,Fire Fighting Vehicle,0
2014-05,Fire Tenders,0
2014-05,Fork Lift,4
2014-05,Goods Carrier,2
2014-05,Harvester,0
2014-05,Hearses,0
2014-05,Library Van,0
2014-05,Luxury Cab,0
2014-05,M-Cycle/Scooter,114
2014-05,M-Cycle/Scooter-With Side Car,1
2014-05,Maxi Cab,0
2014-05,Mobile Clinic,0
2014-05,Mobile Workshop,0
2014-05,Moped,9
2014-05,Motor Cab,4
2014-05,Motor Car,34
2014-05,Motor Cycle/Scooter-Sidecar(T),0
2014-05,Motor Cycle/Scooter-Used For Hire,0
2014-05,Motorised Cycle (Cc > 25Cc),0
2014-05,Omni Bus,0
2014-05,Omni Bus (Private Use),0
2014-05,Power Tiller (Commercial),0
2014-05,Private Service Vehicle,0
2014-05,Private Service Vehicle (Individual Use),0
2014-05,Recovery Vehicle,0
2014-05,Road Roller,0
2014-05,Three Wheeler (Goods),0
2014-05,Three Wheeler (Passenger),0
2014-05,Three Wheeler (Personal),0
2014-05,Tow Truck,0
2014-05,Tower Wagon,0
2014-05,Tractor (Commercial),1
2014-05,Tractor-Trolley(Commercial),0
2014-05,Trailer (Agricultural),6
2014-05,Trailer (Commercial),6
2014-05,Trailer For Personal Use,0
2014-05,Tree Trimming Vehicle,0
2014-05,Vehicle Fitted With Compressor,0
2014-05,Vehicle Fitted With Generator,0
2014-05,Vehicle Fitted With Rig,0
2014-06,Adapted Vehicle,0
2014-06,Agricultural Tractor,1
2014-06,Ambulance,0
2014-06,Animal Ambulance,0
2014-06,Articulated Vehicle,0
2014-06,Breakdown Van,0
2014-06,Bus,0
2014-06,Camper Van / Trailer,0
2014-06,Camper Van / Trailer (Private Use),0
2014-06,Cash Van,0
2014-06,Construction Equipment Vehicle,0
2014-06,Construction Equipment Vehicle (Commercial),0
2014-06,Crane Mounted Vehicle,0
2014-06,Dumper,0
2014-06,E-Rickshaw(P),0
2014-06,Earth Moving Equipment,0
2014-06,Educational Institution Bus,0
2014-06,Excavator (Commercial),0
2014-06,Excavator (Nt),0
2014-06,Fire Fighting Vehicle,0
2014-06,Fire Tenders,0
2014-06,Fork Lift,3
2014-06,Goods Carrier,0
2014-06,Harvester,0
2014-06,Hearses,0
2014-06,Luxury Cab,0
2014-06,M-Cycle/Scooter,100
2014-06,M-Cycle/Scooter-With Side Car,1
2014-06,Maxi Cab,0
2014-06,Mobile Canteen,0
2014-06,Mobile Clinic,0
2014-06,Mobile Workshop,0
2014-06,Moped,8
2014-06,Motor Cab,1
2014-06,Motor Car,22
2014-06,Motor Cycle/Scooter-Sidecar(T),0
2014-06,Motor Cycle/Scooter-Used For Hire,0
2014-06,Motorised Cycle (Cc > 25Cc),0
2014-06,Omni Bus,0
2014-06,Omni Bus (Private Use),0
2014-06,Power Tiller,0
2014-06,Power Tiller (Commercial),0
2014-06,Private Service Vehicle,0
2014-06,Private Service Vehicle (Individual Use),0
2014-06,Recovery Vehicle,0
2014-06,Road Roller,0
2014-06,Three Wheeler (Goods),1
2014-06,Three Wheeler (Passenger),0
2014-06,Three Wheeler (Personal),0
2014-06,Tow Truck,0
2014-06,Tractor (Commercial),0
2014-06,Tractor-Trolley(Commercial),0
2014-06,Trailer (Agricultural),3
2014-06,Trailer (Commercial),9
2014-06,Trailer For Personal Use,0
2014-06,Vehicle Fitted With Compressor,0
2014-06,Vehicle Fitted With Generator,0
2014-06,Vehicle Fitted With Rig,0
2014-06,X-Ray Van,0
2014-07,Adapted Vehicle,0
2014-07,Agricultural Tractor,2
2014-07,Ambulance,0
2014-07,Articulated Vehicle,0
2014-07,Auxiliary Trailer,0
2014-07,Breakdown Van,0
2014-07,Bulldozer,0
2014-07,Bus,0
2014-07,Camper Van / Trailer,0
2014-07,Camper Van / Trailer (Private Use),3
2014-07,Cash Van,0
2014-07,Construction Equipment Vehicle,0
2014-07,Construction Equipment Vehicle (Commercial),0
2014-07,Crane Mounted Vehicle,0
2014-07,Dumper,0
2014-07,E-Rickshaw(P),0
2014-07,Earth Moving Equipment,0
2014-07,Educational Institution Bus,0
2014-07,Excavator (Commercial),0
2014-07,Excavator (Nt),0
2014-07,Fire Fighting Vehicle,0
2014-07,Fire Tenders,0
2014-07,Fork Lift,11
2014-07,Goods Carrier,3
2014-07,Harvester,0
2014-07,Hearses,0
2014-07,Library Van,0
2014-07,Luxury Cab,0
2014-07,M-Cycle/Scooter,138
2014-07,M-Cycle/Scooter-With Side Car,0
2014-07,Maxi Cab,0
2014-07,Mobile Canteen,0
2014-07,Mobile Clinic,0
2014-07,Mobile Workshop,0
2014-07,Moped,16
2014-07,Motor Cab,0
2014-07,Motor Car,17
2014-07,Motor Cycle/Scooter-Sidecar(T),0
2014-07,Motor Cycle/Scooter-Used For Hire,0
2014-07,Motorised Cycle (Cc > 25Cc),0
2014-07,Omni Bus,0
2014-07,Omni Bus (Private Use),0
2014-07,Power Tiller,0
2014-07,Power Tiller (Commercial),0
2014-07,Private Service Vehicle,0
2014-07,Private Service Vehicle (Individual Use),0
2014-07,Recovery Vehicle,0
2014-07,Road Roller,0
2014-07,Three Wheeler (Goods),0
2014-07,Three Wheeler (Passenger),1
2014-07,Three Wheeler (Personal),0
2014-07,Tow Truck,0
2014-07,Tower Wagon,0
2014-07,Tractor (Commercial),1
2014-07,Tractor-Trolley(Commercial),0
2014-07,Trailer (Agricultural),1
2014-07,Trailer (Commercial),6
2014-07,Trailer For Personal Use,0
2014-07,Vehicle Fitted With Compressor,0
2014-07,Vehicle Fitted With Generator,0
2014-07,Vehicle Fitted With Rig,0
2014-08,Adapted Vehicle,0
2014-08,Agricultural Tractor,2
2014-08,Ambulance,0
2014-08,Animal Ambulance,0
2014-08,Articulated Vehicle,0
2014-08,Breakdown Van,0
2014-08,Bulldozer,0
2014-08,Bus,0
2014-08,Camper Van / Trailer,0
2014-08,Camper Van / Trailer (Private Use),0
2014-08,Cash Van,0
2014-08,Construction Equipment Vehicle,0
2014-08,Construction Equipment Vehicle (Commercial),0
2014-08,Crane Mounted Vehicle,0
2014-08,Dumper,0
2014-08,E-Rickshaw(P),0
2014-08,Earth Moving Equipment,0
2014-08,Educational Institution Bus,0
2014-08,Excavator (Commercial),0
2014-08,Excavator (Nt),0
2014-08,Fire Fighting Vehicle,0
2014-08,Fire Tenders,0
2014-08,Fork Lift,1
2014-08,Goods Carrier,1
2014-08,Harvester,0
2014-08,Hearses,0
2014-08,Library Van,0
2014-08,Luxury Cab,0
2014-08,M-Cycle/Scooter,107
2014-08,M-Cycle/Scooter-With Side Car,0
2014-08,Maxi Cab,1
2014-08,Mobile Clinic,0
2014-08,Mobile Workshop,0
2014-08,Moped,4
2014-08,Motor Cab,0
2014-08,Motor Car,59
2014-08,Motor Cycle/Scooter-Sidecar(T),0
2014-08,Motor Cycle/Scooter-Used For Hire,0
2014-08,Motorised Cycle (Cc > 25Cc),0
2014-08,Omni Bus,0
2014-08,Omni Bus (Private Use),0
2014-08,Power Tiller (Commercial),0
2014-08,Private Service Vehicle,0
2014-08,Private Service Vehicle (Individual Use),0
2014-08,Recovery Vehicle,0
2014-08,Road Roller,0
2014-08,Semi-Trailer (Commercial),0
2014-08,Three Wheeler (Goods),0
2014-08,Three Wheeler (Passenger),0
2014-08,Three Wheeler (Personal),2
2014-08,Tow Truck,0
2014-08,Tower Wagon,0
2014-08,Tractor (Commercial),0
2014-08,Tractor-Trolley(Commercial),0
2014-08,Trailer (Agricultural),2
2014-08,Trailer (Commercial),1
2014-08,Trailer For Personal Use,0
2014-08,Vehicle Fitted With Compressor,0
2014-08,Vehicle Fitted With Generator,0
2014-08,Vehicle Fitted With Rig,0
2014-09,Adapted Vehicle,0
2014-09,Agricultural Tractor,0
2014-09,Ambulance,0
2014-09,Animal Ambulance,0
2014-09,Articulated Vehicle,0
2014-09,Auxiliary Trailer,0
2014-09,Breakdown Van,0
2014-09,Bus,0
2014-09,Camper Van / Trailer,0
2014-09,Camper Van / Trailer (Private Use),1
2014-09,Cash Van,0
2014-09,Construction Equipment Vehicle,0
2014-09,Construction Equipment Vehicle (Commercial),0
2014-09,Crane Mounted Vehicle,0
2014-09,Dumper,0
2014-09,E-Rickshaw With Cart (G),0
2014-09,E-Rickshaw(P),0
2014-09,Earth Moving Equipment,1
2014-09,Educational Institution Bus,0
2014-09,Excavator (Commercial),0
2014-09,Excavator (Nt),0
2014-09,Fire Fighting Vehicle,0
2014-09,Fire Tenders,0
2014-09,Fork Lift,6
2014-09,Goods Carrier,1
2014-09,Harvester,0
2014-09,Hearses,0
2014-09,Luxury Cab,0
2014-09,M-Cycle/Scooter,87
2014-09,M-Cycle/Scooter-With Side Car,2
2014-09,Maxi Cab,1
2014-09,Mobile Clinic,0
2014-09,Mobile Workshop,0
2014-09,Moped,8
2014-09,Motor Cab,1
2014-09,Motor Car,59
2014-09,Motor Cycle/Scooter-Sidecar(T),0
2014-09,Motor Cycle/Scooter-Used For Hire,0
2014-09,Motorised Cycle (Cc > 25Cc),0
2014-09,Omni Bus,0
2014-09,Omni Bus (Private Use),0
2014-09,Power Tiller (Commercial),0
2014-09,Private Service Vehicle,0
2014-09,Private Service Vehicle (Individual Use),0
2014-09,Recovery Vehicle,0
2014-09,Road Roller,0
2014-09,Three Wheeler (Goods),0
2014-09,Three Wheeler (Passenger),0
2014-09,Three Wheeler (Personal),0
2014-09,Tow Truck,0
2014-09,Tractor (Commercial),0
2014-09,Tractor-Trolley(Commercial),0
2014-09,Trailer (Agricultural),1
2014-09,Trailer (Commercial),0
2014-09,Trailer For Personal Use,0
2014-09,Vehicle Fitted With Compressor,0
2014-09,Vehicle Fitted With Generator,0
2014-09,Vehicle Fitted With Rig,0
2014-10,Adapted Vehicle,0
2014-10,Agricultural Tractor,2
2014-10,Ambulance,0
2014-10,Articulated Vehicle,0
2014-10,Breakdown Van,0
2014-10,Bus,0
2014-10,Camper Van / Trailer,0
2014-10,Camper Van / Trailer (Private Use),0
2014-10,Cash Van,0
2014-10,Construction Equipment Vehicle,0
2014-10,Construction Equipment Vehicle (Commercial),0
2014-10,Crane Mounted Vehicle,0
2014-10,Dumper,0
2014-10,E-Rickshaw(P),0
2014-10,Earth Moving Equipment,0
2014-10,Educational Institution Bus,0
2014-10,Excavator (Commercial),0
2014-10,Excavator (Nt),0
2014-10,Fire Fighting Vehicle,0
2014-10,Fork Lift,2
2014-10,Goods Carrier,1
2014-10,Harvester,0
2014-10,Hearses,0
2014-10,Luxury Cab,0
2014-10,M-Cycle/Scooter,117
2014-10,M-Cycle/Scooter-With Side Car,0
2014-10,Maxi Cab,0
2014-10,Mobile Clinic,0
2014-10,Mobile Workshop,0
2014-10,Moped,7
2014-10,Motor Cab,0
2014-10,Motor Car,57
2014-10,Motor Cycle/Scooter-Sidecar(T),0
2014-10,Motor Cycle/Scooter-Used For Hire,0
2014-10,Motorised Cycle (Cc > 25Cc),0
2014-10,Omni Bus,0
2014-10,Omni Bus (Private Use),0
2014-10,Power Tiller,0
2014-10,Power Tiller (Commercial),0
2014-10,Private Service Vehicle,0
2014-10,Private Service Vehicle (Individual Use),0
2014-10,Recovery Vehicle,0
2014-10,Road Roller,0
2014-10,Three Wheeler (Goods),0
2014-10,Three Wheeler (Passenger),0
2014-10,Three Wheeler (Personal),0
2014-10,Tow Truck,0
2014-10,Tower Wagon,0
2014-10,Tractor (Commercial),0
2014-10,Tractor-Trolley(Commercial),0
2014-10,Trailer (Agricultural),2
2014-10,Trailer (Commercial),0
2014-10,Trailer For Personal Use,0
2014-10,Vehicle Fitted With Compressor,0
2014-10,Vehicle Fitted With Generator,0
2014-10,Vehicle Fitted With Rig,0
2014-11,Adapted Vehicle,0
2014-11,Agricultural Tractor,1
2014-11,Ambulance,0
2014-11,Animal Ambulance,0
2014-11,Articulated Vehicle,1
2014-11,Auxiliary Trailer,0
2014-11,Bulldozer,0
2014-11,Bus,0
2014-11,Camper Van / Trailer,0
2014-11,Camper Van / Trailer (Private Use),0
2014-11,Cash Van,0
2014-11,Construction Equipment Vehicle,1
2014-11,Construction Equipment Vehicle (Commercial),0
2014-11,Crane Mounted Vehicle,0
2014-11,Dumper,0
2014-11,E-Rickshaw(P),0
2014-11,Earth Moving Equipment,0
2014-11,Educational Institution Bus,0
2014-11,Excavator (Commercial),0
2014-11,Excavator (Nt),0
2014-11,Fire Fighting Vehicle,0
2014-11,Fire Tenders,0
2014-11,Fork Lift,4
2014-11,Goods Carrier,0
2014-11,Harvester,0
2014-11,Hearses,0
2014-11,Luxury Cab,0
2014-11,M-Cycle/Scooter,142
2014-11,M-Cycle/Scooter-With Side Car,0
2014-11,Maxi Cab,0
2014-11,Mobile Canteen,0
2014-11,Mobile Clinic,0
2014-11,Mobile Workshop,0
2014-11,Moped,5
2014-11,Motor Cab,1
2014-11,Motor Car,51
2014-11,Motor Cycle/Scooter-Sidecar(T),0
2014-11,Motor Cycle/Scooter-Used For Hire,0
2014-11,Motorised Cycle (Cc > 25Cc),0
2014-11,Omni Bus,0
2014-11,Omni Bus (Private Use),0
2014-11,Power Tiller,0
2014-11,Power Tiller (Commercial),0
2014-11,Private Service Vehicle,0
2014-11,Private Service Vehicle (Individual Use),0
2014-11,Recovery Vehicle,0
2014-11,Road Roller,0
2014-11,Three Wheeler (Goods),0
2014-11,Three Wheeler (Passenger),1
2014-11,Three Wheeler (Personal),0
2014-11,Tow Truck,0
2014-11,Tower Wagon,0
2014-11,Tractor (Commercial),0
2014-11,Tractor-Trolley(Commercial),0
2014-11,Trailer (Agricultural),3
2014-11,Trailer (Commercial),0
2014-11,Trailer For Personal Use,0
2014-11,Tree Trimming Vehicle,0
2014-11,Vehicle Fitted With Compressor,0
2014-11,Vehicle Fitted With Generator,0
2014-11,Vehicle Fitted With Rig,0
2014-12,Adapted Vehicle,0
2014-12,Agricultural Tractor,2
2014-12,Ambulance,0
2014-12,Articulated Vehicle,2
2014-12,Breakdown Van,0
2014-12,Bulldozer,0
2014-12,Bus,0
2014-12,Camper Van / Trailer,0
2014-12,Camper Van / Trailer (Private Use),0
2014-12,Cash Van,0
2014-12,Construction Equipment Vehicle,1
2014-12,Construction Equipment Vehicle (Commercial),0
2014-12,Crane Mounted Vehicle,0
2014-12,Dumper,0
2014-12,E-Rickshaw(P),0
2014-12,Earth Moving Equipment,0
2014-12,Educational Institution Bus,0
2014-12,Excavator (Commercial),0
2014-12,Excavator (Nt),0
2014-12,Fire Fighting Vehicle,0
2014-12,Fire Tenders,0
2014-12,Fork Lift,0
2014-12,Goods Carrier,0
2014-12,Harvester,0
2014-12,Hearses,0
2014-12,Library Van,0
2014-12,Luxury Cab,0
2014-12,M-Cycle/Scooter,140
2014-12,M-Cycle/Scooter-With Side Car,0
2014-12,Maxi Cab,0
2014-12,Mobile Clinic,0
2014-12,Mobile Workshop,0
2014-12,Moped,26
2014-12,Motor Cab,0
2014-12,Motor Car,58
2014-12,Motor Cycle/Scooter-Sidecar(T),0
2014-12,Motor Cycle/Scooter-Used For Hire,0
2014-12,Motorised Cycle (Cc > 25Cc),0
2014-12,Omni Bus,0
2014-12,Omni Bus (Private Use),0
2014-12,Power Tiller,0
2014-12,Power Tiller (Commercial),0
2014-12,Private Service Vehicle,0
2014-12,Private Service Vehicle (Individual Use),0
2014-12,Recovery Vehicle,0
2014-12,Road Roller,0
2014-12,Three Wheeler (Goods),0
2014-12,Three Wheeler (Passenger),1
2014-12,Three Wheeler (Personal),0
2014-12,Tow Truck,0
2014-12,Tractor (Commercial),0
2014-12,Tractor-Trolley(Commercial),0
2014-12,Trailer (Agricultural),6
2014-12,Trailer (Commercial),1
2014-12,Trailer For Personal Use,0
2014-12,Vehicle Fitted With Compressor,0
2014-12,Vehicle Fitted With Generator,0
2014-12,Vehicle Fitted With Rig,0
2015-01,Adapted Vehicle,1
2015-01,Agricultural Tractor,1
2015-01,Ambulance,0
2015-01,Animal Ambulance,0
2015-01,Articulated Vehicle,0
2015-01,Breakdown Van,0
2015-01,Bulldozer,0
2015-01,Bus,0
2015-01,Camper Van / Trailer,0
2015-01,Camper Van / Trailer (Private Use),0
2015-01,Cash Van,0
2015-01,Construction Equipment Vehicle,0
2015-01,Construction Equipment Vehicle (Commercial),0
2015-01,Crane Mounted Vehicle,0
2015-01,Dumper,0
2015-01,E-Rickshaw(P),0
2015-01,Earth Moving Equipment,0
2015-01,Educational Institution Bus,0
2015-01,Excavator (Commercial),0
2015-01,Excavator (Nt),0
2015-01,Fire Fighting Vehicle,0
2015-01,Fire Tenders,0
2015-01,Fork Lift,0
2015-01,Goods Carrier,0
2015-01,Harvester,0
2015-01,Hearses,0
2015-01,Luxury Cab,0
2015-01,M-Cycle/Scooter,84
2015-01,M-Cycle/Scooter-With Side Car,1
2015-01,Maxi Cab,0
2015-01,Mobile Canteen,0
2015-01,Mobile Clinic,0
2015-01,Mobile Workshop,0
2015-01,Moped,6
2015-01,Motor Cab,0
2015-01,Motor Car,73
2015-01,Motor Cycle/Scooter-Sidecar(T),0
2015-01,Motor Cycle/Scooter-Used For Hire,0
2015-01,Motorised Cycle (Cc > 25Cc),0
2015-01,Omni Bus,0
2015-01,Omni Bus (Private Use),0
2015-01,Power Tiller (Commercial),0
2015-01,Private Service Vehicle,0
2015-01,Private Service Vehicle (Individual Use),0
2015-01,Recovery Vehicle,0
2015-01,Road Roller,0
2015-01,Three Wheeler (Goods),0
2015-01,Three Wheeler (Passenger),1
2015-01,Three Wheeler (Personal),0
2015-01,Tow Truck,0
2015-01,Tower Wagon,0
2015-01,Tractor (Commercial),0
2015-01,Tractor-Trolley(Commercial),0
2015-01,Trailer (Agricultural),4
2015-01,Trailer (Commercial),3
2015-01,Trailer For Personal Use,0
2015-01,Tree Trimming Vehicle,0
2015-01,Vehicle Fitted With Compressor,0
2015-01,Vehicle Fitted With Generator,0
2015-01,Vehicle Fitted With Rig,0
2015-02,Adapted Vehicle,0
2015-02,Agricultural Tractor,0
2015-02,Ambulance,0
2015-02,Animal Ambulance,0
2015-02,Articulated Vehicle,0
2015-02,Breakdown Van,0
2015-02,Bulldozer,0
2015-02,Bus,0
2015-02,Camper Van / Trailer,0
2015-02,Camper Van / Trailer (Private Use),2
2015-02,Cash Van,0
2015-02,Construction Equipment Vehicle,1
2015-02,Construction Equipment Vehicle (Commercial),0
2015-02,Crane Mounted Vehicle,0
2015-02,Dumper,0
2015-02,E-Rickshaw With Cart (G),0
2015-02,E-Rickshaw(P),0
2015-02,Earth Moving Equipment,0
2015-02,Educational Institution Bus,0
2015-02,Excavator (Commercial),0
2015-02,Excavator (Nt),0
2015-02,Fire Fighting Vehicle,0
2015-02,Fire Tenders,0
2015-02,Fork Lift,3
2015-02,Goods Carrier,2
